Group,Score
A,64.96714153011233
A,58.61735698828815
A,66.47688538100692
A,75.23029856408026
A,57.658466252766644
A,57.6586304305082
A,75.79212815507391
A,67.67434729152909
A,55.30525614065048
A,65.42560043585965
A,55.365823071875376
A,55.34270246429743
A,62.41962271566034
A,40.867197553422024
A,42.75082167486967
A,54.377124707590276
A,49.87168879665576
A,63.142473325952736
A,50.91975924478789
A,45.87696298664709
A,74.65648768921554
A,57.74223699513465
A,60.67528204687924
A,45.75251813786543
A,54.556172754748175
A,61.10922589709866
A,48.49006422577697
A,63.75698018345672
A,53.99361310081195
A,57.083062502067236
A,53.98293387770603
A,78.52278184508938
A,59.86502775262066
A,49.422890710441
A,68.22544912103189
A,47.791563500289776
A,62.08863595004755
A,40.403298761202244
A,46.71813951101569
A,61.96861235869123
A,67.3846657999541
A,61.7136828118997
A,58.843517176117594
A,56.98896304410711
A,45.214780096325725
A,52.801557916052914
A,55.393612290402125
A,70.57122226218915
A,63.43618289568462
A,42.36959844637266
A,63.24083969394795
A,56.149177195836835
A,53.23077999694041
A,66.11676288840867
A,70.30999522495951
A,69.31280119116198
A,51.607824767773614
A,56.907876241487855
A,63.31263431403564
A,69.75545127122359
A,55.2082576215471
A,58.14341023336183
A,48.93665025993972
A,48.037933759193294
A,68.12525822394198
A,73.56240028570824
A,59.27989878419666
A,70.03532897892025
A,63.61636025047634
A,53.54880245394876
A,63.61395605508414
A,75.38036566465969
A,59.64173960890049
A,75.64643655814007
A,33.80254895910256
A,68.21902504375224
A,60.870470682381715
A,57.00992649534132
A,60.91760776535502
A,40.12431085399107
A,57.80328112162488
A,63.57112571511746
A,74.77894044741517
A,54.81729781726352
A,51.91506397106812
A,54.982429564154636
A,69.15402117702074
A,63.287511096596845
A,54.70239796232961
A,65.13267433113356
A,60.9707754934804
A,69.68644990532889
A,52.979469061226474
A,56.723378534022316
A,56.078918468678424
A,45.364850518678814
A,62.96120277064576
A,62.610552721798896
A,60.05113456642461
A,57.654128666248525
B,53.015551095395026
B,64.9522561268157
B,65.88742580167876
B,60.372672769340575
B,68.0645714600079
B,74.84861028177446
B,92.63423081452636
B,72.09493375398206
B,73.09060468867317
B,69.106649010806
B,46.9747454164115
B,69.68183349460939
B,70.72276251929232
B,99.55890534982343
B,67.69166842262653
B,73.61856810800334
B,69.58345876353708
B,55.97586354856561
B,83.71387377418024
B,79.02319639224129
B,79.49238336451657
B,59.087350542463135
B,86.8335317312332
B,53.17778724649263
B,77.04228512560324
B,96.28546750971974
B,58.11356409843174
B,63.204427244766734
B,71.1958163810517
B,63.95829215060561
B,51.392038827206406
B,70.82275569767233
B,57.252355435286745
B,75.68310916762218
B,58.96690918919436
B,88.59921286021049
B,60.600960491965154
B,66.1352618055319
B,79.76220660843603
B,55.22962820279254
B,72.72951921524955
B,85.68571305138914
B,50.71020118526527
B,72.21560630238766
B,73.11859353098109
B,79.38187446132773
B,55.15659146946302
B,54.154520642988686
B,76.26329878740277
B,73.56381607879823
B,73.00591420415051
B,74.1573785139637
B,61.83970334105811
B,72.78704436593205
B,73.51686967958418
B,61.427782983683585
B,92.38929413373708
B,75.68599505094144
B,55.70435803356822
B,77.87864330360595
B,58.30381995727214
B,79.44501524490943
B,83.90314694808885
B,60.151812179779476
B,81.56051355093186
B,74.95337112323799
B,79.86472191993388
B,92.76151579184737
B,67.05534260796556
B,60.95516602771013
B,59.32582684449372
B,60.21027658041474
B,69.07477948703075
B,74.09382369779972
B,73.32028959196023
B,79.92619898843229
B,70.15602270253488
B,87.4424089258878
B,66.82411800114453
B,102.64202999907542
B,77.50800817318007
B,59.71410932300461
B,57.14929002326665
B,75.78966898291823
B,67.31844657608978
B,78.5680059291051
B,75.67885149488254
B,69.12605304811753
B,59.83847538317914
B,51.82183330376962
B,64.64182057519575
B,80.27678553188167
B,72.56912492956245
B,55.051134655456146
B,72.07817111021419
B,74.62380855674604
B,59.393710765586405
B,71.84470127134634
B,70.698504621352
B,56.284356426032524
C,67.86229888278626
C,69.48627621094587
C,73.66440994540221
C,73.43041641627923
C,53.97864505634327
C,57.49739968067902
C,69.12028213766928
C,69.11028760729766
C,69.12038149044838
C,95.82185192523777
C,69.56712408554533
C,74.08452512144478
C,72.63201410794562
C,70.21113001044638
C,62.47784604287723
C,71.07175376394613
C,58.817398283699426
C,63.10545114607993
C,61.11709161736717
C,65.65499311509058
