t,y,exog
2020-01-01,50.993428306022466,4.398169292171246
2020-01-02,54.77347139765763,5.336138722715625
2020-01-03,60.055631114045774,5.0188886011726925
2020-01-04,63.19605971281605,5.146514147823248
2020-01-05,58.391947288397716,3.8404853242168002
2020-01-06,54.78172608610164,5.036765261388414
2020-01-07,53.45842563101478,5.746997436868174
2020-01-08,46.88486945830582,7.176715411692562
2020-01-09,40.800797190285714,6.43890623912781
2020-01-10,41.53512008717193,8.229773686267334
2020-01-11,40.91291057653069,3.848978655667926
2020-01-12,44.61854049285947,6.308480955081017
2020-01-13,51.08392454313207,5.2750130086075275
2020-01-14,51.8234395106844,8.28470439982651
2020-01-15,55.91041837281832,3.787552571967273
2020-01-16,59.625424941518055,3.740417236728836
2020-01-17,57.434591797175536,4.1009110318339665
2020-01-18,56.478494665190546,1.8141564135352897
2020-01-19,49.08395184895758,4.211367467478858
2020-01-20,43.12539259732942,3.861301007669453
2020-01-21,45.27104349999872,5.225590679714311
2020-01-22,40.598447399026924,5.512633963665739
2020-01-23,42.57480237153146,7.814256258823829
2020-01-24,43.30050362757307,6.425635757279076
2020-01-25,50.11123455094963,4.134644516506396
2020-01-26,56.47184517941974,3.652377992977463
2020-01-27,57.65826688299978,5.737878757259758
2020-01-28,62.10139603669135,3.019650189469037
2020-01-29,58.858976658006775,7.747188148781531
2020-01-30,55.86661250041345,6.76916018108193
2020-01-31,50.29658677554123,4.296236521842943
2020-02-01,50.254556369017884,2.430298206363683
2020-02-02,42.91275151267976,7.03080856124812
2020-02-03,39.5345781420882,4.828190232121073
2020-02-04,44.684835786362,6.856724467960193
2020-02-05,44.308312700057954,2.6083585118084494
2020-02-06,52.2177271900095,4.1009374655693405
2020-02-07,52.93065975224044,5.007865549577275
2020-02-08,57.90388194004751,5.070470890647113
2020-02-09,62.343722471738246,4.324901792781135
2020-02-10,62.1371871978352,5.934274898521248
2020-02-11,57.39273656237997,3.3985693559261083
2020-02-12,51.86870343522353,4.7864307724680595
2020-02-13,46.54779260882143,5.180443447567848
2020-02-14,40.582701981420776,5.771658251088123
2020-02-15,40.810311583210584,6.067422317133334
2020-02-16,42.71846842023602,3.3130368622431963
2020-02-17,49.464244452437825,2.6988287438965664
2020-02-18,53.08723657913691,6.916515232847764
2020-02-19,53.92391968927452,5.498471017969387
2020-02-20,61.80842197663399,3.8772701951651696
2020-02-21,61.779835439167364,7.326727963283784
2020-02-22,59.906410037232476,5.173511951439288
2020-02-23,58.87335257768174,6.768945776095739
2020-02-24,54.76199904499192,5.101277722115164
2020-02-25,49.61256023823238,8.09112188732298
2020-02-26,42.46131091571034,7.633011263664807
2020-02-27,42.231575248297574,4.62655377728139
2020-02-28,44.902272824962736,6.4573564264315335
2020-02-29,49.901090254244714,5.968063924377721
2020-03-01,52.04165152430937,7.052947336298523
2020-03-02,57.67868204667235,3.5526148091298433
2020-03-03,59.54758408983232,6.029077189997659
2020-03-04,60.75758675183866,6.587636730274381
2020-03-05,63.4853056826328,2.3618907703653287
2020-03-06,60.962480057141654,3.2251122310013374
2020-03-07,53.15597975683931,1.9411517333598491
2020-03-08,50.35706579578407,4.595889748333163
2020-03-09,45.46301801225088,6.076313383693943
2020-03-10,42.15976049078976,7.253535578144042
2020-03-11,45.56253717317244,5.1111421706296625
2020-03-12,51.62607313293196,7.442923318356938
2020-03-13,53.52834792178008,2.929847812677663
2020-03-14,61.77928731162796,2.444926340967268
2020-03-15,57.12076382966489,4.916678451655072
2020-03-16,65.39380500875045,5.576098173408961
2020-03-17,62.63434817432075,4.95095787785886
2020-03-18,58.251985299068274,1.898836849940185
2020-03-19,54.08352155307105,4.8663199407308175
2020-03-20,44.97486217079824,3.04329574924272
2020-03-21,44.900402186480584,6.004508823245057
2020-03-22,44.76422514302349,5.549897369145272
2020-03-23,48.395534051638606,3.590180320508967
2020-03-24,48.11345956345272,4.22919962399496
2020-03-25,52.583012794213616,3.4111797171665725
2020-03-26,58.24648591283094,4.905981354090242
2020-03-27,64.79105827324851,6.432713480751858
2020-03-28,65.00750221931936,3.5214109304966845
2020-03-29,62.00073363031032,5.756069773276766
2020-03-30,60.47653486622673,4.204613572441339
2020-03-31,54.694155098696065,3.810690751606484
2020-04-01,51.4872899810658,4.839454460068163
2020-04-02,44.53563977440094,3.447136516370939
2020-04-03,43.994675706804465,4.169526041979227
2020-04-04,45.2555296558913,3.203183161116727
2020-04-05,46.822970103735784,7.947087699374584
2020-04-06,55.39224055412913,5.052895327957593
2020-04-07,60.37211054435973,3.950411738011122
2020-04-08,63.5704809511293,5.320969866101333
2020-04-09,64.4808257332497,4.831507925463756
2020-04-10,60.82951255374355,4.668545600700166
2020-04-11,59.20870935446929,5.9212500500651375
2020-04-12,54.41457096694652,6.136261565070957
2020-04-13,48.54544546155678,4.204248278584209
2020-04-14,46.2171745388236,4.13627263903298
2020-04-15,46.05810171362908,4.587422454272534
2020-04-16,50.41211776457667,1.5471182528966227
2020-04-17,50.699155625663636,2.727213406702172
2020-04-18,55.9151007814455,7.050311401166787
2020-04-19,60.301108168467614,7.467451570251925
2020-04-20,60.322711607246326,4.626445940665432
2020-04-21,65.49697224910156,5.864835444583649
2020-04-22,64.38071445772646,5.466875231815304
2020-04-23,65.57648422497059,9.618321212682856
2020-04-24,55.31527807043781,6.679362367151866
2020-04-25,51.35309468466719,4.80812361277885
2020-04-26,47.07032242274513,3.5666893390993613
2020-04-27,43.51264392476094,2.5903305196136412
2020-04-28,49.52539159118565,5.305195453800835
