t,value
2020-01-01,0.0
2020-01-02,-1.8215879119207263
2020-01-03,-1.294982955716557
2020-01-04,-0.7438936085775434
2020-01-05,0.47337712703312607
2020-01-06,-1.335613481435383
2020-01-07,-3.3252711277780613
2020-01-08,-3.206154438825718
2020-01-09,-2.1415170286391256
2020-01-10,-0.6991470558283278
2020-01-11,-0.04570104077810133
2020-01-12,0.19802143025959895
2020-01-13,-0.16512233667909176
2020-01-14,1.3030464183491648
2020-01-15,0.5757756411706412
2020-01-16,0.3784312833042527
2020-01-17,-0.5414557469222421
2020-01-18,-0.293509585567992
2020-01-19,-1.057913819520156
2020-01-20,-0.5173223848707733
2020-01-21,-0.004226681671918309
2020-01-22,1.7860998066509537
2020-01-23,1.84571586735265
2020-01-24,1.789130951221031
2020-01-25,0.8216349270151333
2020-01-26,0.057552422986528295
2020-01-27,0.036634215257057665
2020-01-28,-1.4556127584879868
2020-01-29,-3.1930021099637114
2020-01-30,-2.521591961809233
2020-01-31,-1.923416671044808
2020-02-01,-2.19009459849654
2020-02-02,-2.7262324724331966
2020-02-03,-3.1742692458369532
2020-02-04,-2.706260199950812
2020-02-05,-1.674952009841168
2020-02-06,-3.254054491851683
2020-02-07,-2.0272524285615443
2020-02-08,0.2850324428007138
2020-02-09,-1.5659485041295311
2020-02-10,-1.0990940123995872
2020-02-11,0.6103143199404922
2020-02-12,0.9107844906723561
2020-02-13,-0.5683628316719734
2020-02-14,0.04167037757354286
2020-02-15,0.1981964724275118
2020-02-16,0.6109435952420252
2020-02-17,2.927507685682981
2020-02-18,3.481523407954715
2020-02-19,1.9690687348946576
2020-02-20,0.8727701163085799
2020-02-21,-0.2255216651620124
2020-02-22,-0.06270575877748258
2020-02-23,-0.6828362787923818
2020-02-24,-1.3415474688834705
2020-02-25,-2.546808918454233
2020-02-26,-2.6833062900455698
2020-02-27,-2.0227250409420643
2020-02-28,-4.232266162550324
2020-02-29,-4.200154587407035
2020-03-01,-3.3019944764303193
2020-03-02,-3.424867622339095
2020-03-03,-1.017261953103854
2020-03-04,0.9561185348296206
2020-03-05,0.05188295275419719
2020-03-06,0.4411822473139374
2020-03-07,1.9327386257006638
2020-03-08,2.1760110535865116
2020-03-09,2.155059248863558
2020-03-10,2.206970880791367
2020-03-11,-0.18490048752155863
2020-03-12,-1.1691163304369616
2020-03-13,-1.2489537450737578
2020-03-14,0.3354275037072605
2020-03-15,1.174132121151633
2020-03-16,0.7751858802293609
2020-03-17,0.41097957834579957
2020-03-18,1.3161193479076365
2020-03-19,1.2776650477317544
2020-03-20,0.25010263979566827
2020-03-21,-0.3548982943209754
2020-03-22,0.5464966311975552
2020-03-23,1.3096406680850534
2020-03-24,1.290446470056331
2020-03-25,1.2416036648295403
2020-03-26,0.5101561780460822
2020-03-27,-0.00972144744398079
2020-03-28,-0.7486612399067634
2020-03-29,-1.1590300049349611
2020-03-30,0.30104254595875857
2020-03-31,-0.2985664691595331
2020-04-01,-1.3587195663014175
2020-04-02,-2.6167615825460517
2020-04-03,-4.06603756839874
2020-04-04,-4.027965471789323
2020-04-05,-3.9146903249103615
2020-04-06,-1.6171070018564113
2020-04-07,-0.8718565753460457
2020-04-08,0.47877298468207047
2020-04-09,1.8667836080582996
